% Historical prices for APPLE computer from 3 Jan 2001 - 10 Aug 2011.
% Data obtained from Yahoo finance (http://finance.yahoo.com/q/hp?s=AAPL&a=00&b=3&c=2011&d=07&e=10&f=2011&g=d)
%
% In the forecasting environment, select "Daily" periodicity and enter:
% weekend,2011-01-17@yyyy-MM-dd,2011-02-21,2011-04-22,2011-05-30,2011-07-04
% in the "Skip list"
%

@relation AppleStocks
@attribute Date date yyyy-MM-dd
@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute Volume numeric
@attribute 'Adj Close' numeric
@data
2011-01-03,325.6,330.3,324.8,329.6,15897800,329.6
2011-01-04,332.4,332.5,328.2,331.3,11038600,331.3
2011-01-05,329.6,334.3,329.5,334,9125700,334
2011-01-06,334.7,335.2,332.9,333.7,10729600,333.7
2011-01-07,334,336.4,331.9,336.1,11140400,336.1
2011-01-10,338.8,343.2,337.2,342.4,16020000,342.4
2011-01-11,344.9,345,339.5,341.6,15861000,341.6
2011-01-12,343.2,344.4,342,344.4,10806800,344.4
2011-01-13,345.2,346.6,343.8,345.7,10599300,345.7
2011-01-14,345.9,348.5,344.4,348.5,11030000,348.5
2011-01-18,329.5,344.8,326,340.6,67178500,340.6
2011-01-19,348.4,348.6,336.9,338.8,40557600,338.8
2011-01-20,336.4,338.3,330.1,332.7,27313900,332.7
2011-01-21,333.8,334.9,326.6,326.7,26942900,326.7
2011-01-24,326.9,337.4,326.7,337.4,20524400,337.4
2011-01-25,336.3,341.4,334.6,341.4,19531000,341.4
2011-01-26,343,345.6,341.5,343.8,18102700,343.8
2011-01-27,343.8,344.7,342.8,343.2,10179500,343.2
2011-01-28,344.2,344.4,333.5,336.1,21144900,336.1
2011-01-31,335.8,340,334.3,339.3,13473100,339.3
2011-02-01,341.3,345.6,341,345,15236900,345
2011-02-02,344.4,345.2,343.6,344.3,9248400,344.3
2011-02-03,343.8,344.2,338.6,343.4,14064200,343.4
2011-02-04,343.6,346.7,343.5,346.5,11494300,346.5
2011-02-07,347.9,353.2,347.6,351.9,17322200,351.9
2011-02-08,353.7,355.5,352.2,355.2,13608600,355.2
2011-02-09,355.2,359,354.9,358.2,17240900,358.2
2011-02-10,357.4,360,348,354.5,33162500,354.5
2011-02-11,354.8,357.8,353.5,356.8,13127600,356.8
2011-02-14,356.8,359.5,356.7,359.2,11086300,359.2
2011-02-15,359.2,360,357.6,359.9,10149100,359.9
2011-02-16,360.8,364.9,360.5,363.1,17184200,363.1
2011-02-17,357.2,360.3,356.5,358.3,18949400,358.3
2011-02-18,358.7,359.5,349.5,350.6,29144900,350.6
2011-02-22,342.2,345.4,337.7,338.6,31162700,338.6
2011-02-23,338.8,344.6,338.6,342.6,23994800,342.6
2011-02-24,344,345.2,338.4,342.9,17853600,342.9
2011-02-25,345.3,348.4,344.8,348.2,13572100,348.2
2011-02-28,351.2,355,351.1,353.2,14395500,353.2
2011-03-01,355.5,355.7,347.7,349.3,16290600,349.3
2011-03-02,350,354.4,348.4,352.1,21521100,352.1
2011-03-03,357.2,359.8,355.9,359.6,17885300,359.6
2011-03-04,360.1,360.3,357.8,360,16188100,360
2011-03-07,361.4,361.7,351.3,355.4,19504400,355.4
2011-03-08,354.9,357.4,352.2,355.8,12725600,355.8
2011-03-09,354.7,354.8,350.6,352.5,16189500,352.5
2011-03-10,349.1,349.8,344.9,346.7,18126400,346.7
2011-03-11,345.3,352.3,345,352,16824300,352
2011-03-14,353.2,356.5,351.3,353.6,15569900,353.6
2011-03-15,342.1,347.8,340.1,345.4,25752900,345.4
2011-03-16,342,343,326.3,330,41500400,330
2011-03-17,336.8,339.6,330.7,334.6,23550800,334.6
2011-03-18,337.1,338.2,330,330.7,26900500,330.7
2011-03-21,336,339.7,335.3,339.3,14621500,339.3
2011-03-22,342.6,342.6,339.1,341.2,11640100,341.2
2011-03-23,339.3,340.2,336,339.2,13321300,339.2
2011-03-24,341.8,346,338.9,345,14454000,345
2011-03-25,348.1,352.1,347,351.5,16032500,351.5
2011-03-28,353.2,354.3,350.4,350.4,11048400,350.4
2011-03-29,347.7,351,346.1,351,12603600,351
2011-03-30,350.6,350.9,347.4,348.6,11764500,348.6
2011-03-31,346.4,349.8,346.1,348.5,9786400,348.5
2011-04-01,351.1,351.6,343.3,344.6,14952200,344.6
2011-04-04,344.3,344.6,338.4,341.2,16431600,341.2
2011-04-05,337,342.2,336,338.9,17240400,338.9
2011-04-06,341.2,343.9,337.1,338,14376400,338
2011-04-07,338.1,340.4,336,338.1,13337400,338.1
2011-04-08,339.9,340.2,334,335.1,13483400,335.1
2011-04-11,334.1,335.7,330,330.8,14248100,330.8
2011-04-12,330.5,333.7,330.2,332.4,15201400,332.4
2011-04-13,335,336.1,332.5,336.1,12365000,336.1
