% Sales of Australian wine (thousands of litres)
% from Jan 1980 - 1980-07-01 1995. Data is sorted in
% time
@relation wine2

@attribute Fortified numeric
@attribute Dry-white numeric
@attribute Sweet-white numeric
@attribute Red numeric
@attribute Rose numeric
@attribute Sparkling numeric
@attribute Date date 'yyyy-MM-dd'

@data
2585,1954,85,464,112,1686,1980-01-01
3368,2302,89,675,118,1591,1980-02-01
3210,3054,109,703,129,2304,1980-03-01
3111,2414,95,887,99,1712,1980-04-01
3756,2226,91,1139,116,1471,1980-05-01
4216,2725,95,1077,168,1377,1980-06-01
5225,2589,96,1318,118,1966,1980-07-01
4426,3470,128,1260,129,2453,1980-08-01
3932,2400,124,1120,205,1984,1980-09-01
3816,3180,111,963,147,2596,1980-10-01
3661,4009,178,996,150,4087,1980-11-01
3795,3924,140,960,267,5179,1980-12-01
2285,2072,150,530,126,1530,1981-01-01
2934,2434,132,883,129,1523,1981-02-01
2985,2956,155,894,124,1633,1981-03-01
3646,2828,132,1045,97,1976,1981-04-01
4198,2687,91,1199,102,1170,1981-05-01
4935,2629,94,1287,127,1480,1981-06-01
5618,3150,109,1565,222,1781,1981-07-01
5454,4119,155,1577,214,2472,1981-08-01
3624,3030,123,1076,118,1981,1981-09-01
2898,3055,130,918,141,2273,1981-10-01
3802,3821,150,1008,154,3857,1981-11-01
2369,4001,163,1063,226,4551,1981-12-01
2369,2529,101,544,89,1510,1982-01-01
2511,2472,123,635,77,1329,1982-02-01
3079,3134,127,804,82,1518,1982-03-01
3728,2789,112,980,97,1790,1982-04-01
4151,2758,108,1018,127,1537,1982-05-01
4326,2993,116,1064,121,1449,1982-06-01
5054,3282,153,1404,117,1954,1982-07-01
5138,3437,163,1286,117,1897,1982-08-01
3310,2804,128,1104,106,1706,1982-09-01
3508,3076,142,999,112,2514,1982-10-01
3790,3782,170,996,134,3593,1982-11-01
3446,3889,214,1015,169,4524,1982-12-01
2127,2271,134,615,75,1609,1983-01-01
2523,2452,122,722,108,1638,1983-02-01
3017,3084,142,832,115,2030,1983-03-01
3265,2522,156,977,85,1375,1983-04-01
3822,2769,145,1270,101,1320,1983-05-01
4027,3438,169,1437,108,1245,1983-06-01
4420,2839,134,1520,109,1600,1983-07-01
5255,3746,165,1708,124,2298,1983-08-01
4009,2632,156,1151,105,2191,1983-09-01
3074,2851,111,934,95,2511,1983-10-01
3465,3871,165,1159,135,3440,1983-11-01
3718,3618,197,1209,164,4923,1983-12-01
1954,2389,124,699,88,1609,1984-01-01
2604,2344,124,830,85,1435,1984-02-01
3626,2678,139,996,112,2061,1984-03-01
2836,2492,137,1124,87,1789,1984-04-01
4042,2858,127,1458,91,1567,1984-05-01
3584,2246,134,1270,87,1404,1984-06-01
4225,2800,136,1753,87,1597,1984-07-01
4523,3869,171,2258,142,3159,1984-08-01
2892,3007,112,1208,95,1759,1984-09-01
2876,3023,110,1241,108,2504,1984-10-01
3420,3907,147,1265,139,4273,1984-11-01
3159,4209,196,1828,159,5274,1984-12-01
2101,2353,112,809,61,1771,1985-01-01
2181,2570,118,997,82,1682,1985-02-01
