@relation unbalanced

@attribute WBN_GC_L_0.25 numeric
@attribute WBN_GC_H_0.25 numeric
@attribute WBN_GC_L_0.50 numeric
@attribute WBN_GC_H_0.50 numeric
@attribute WBN_GC_L_0.75 numeric
@attribute WBN_GC_H_0.75 numeric
@attribute WBN_GC_L_1.00 numeric
@attribute WBN_GC_H_1.00 numeric
@attribute WBN_EN_L_0.25 numeric
@attribute WBN_EN_H_0.25 numeric
@attribute WBN_EN_L_0.50 numeric
@attribute WBN_EN_H_0.50 numeric
@attribute WBN_EN_L_0.75 numeric
@attribute WBN_EN_H_0.75 numeric
@attribute WBN_EN_L_1.00 numeric
@attribute WBN_EN_H_1.00 numeric
@attribute WBN_LP_L_0.25 numeric
@attribute WBN_LP_H_0.25 numeric
@attribute WBN_LP_L_0.50 numeric
@attribute WBN_LP_H_0.50 numeric
@attribute WBN_LP_L_0.75 numeric
@attribute WBN_LP_H_0.75 numeric
@attribute WBN_LP_L_1.00 numeric
@attribute WBN_LP_H_1.00 numeric
@attribute XLogP numeric
@attribute PSA numeric
@attribute NumRot numeric
@attribute NumHBA numeric
@attribute NumHBD numeric
@attribute MW numeric
@attribute BBB numeric
@attribute BadGroup numeric
@attribute Outcome {Active,Inactive}

@data
-2.3941,1.8819,-2.5208,2.3536,-2.7698,3.1048,-3.4568,3.9734,-0.8412,1.2385,-1.7103,2.0127,-2.5874,2.8944,-3.4677,3.7962,-0.885,1.1079,-1.694,1.9939,-2.5592,2.8987,-3.4355,3.8086,4.924,60.45,6,4,1,362.857,1,0,Active
-2.3342,2.3811,-2.6012,2.742,-3.0632,3.4052,-3.736,4.2833,-0.8664,2.4012,-1.7694,2.6741,-2.6826,3.1567,-3.6,4.0094,-0.9068,1.1629,-1.7613,2.0906,-2.6669,3.037,-3.5822,3.9886,4.954,50.44,2,2,1,320.266,1,0,Active
-1.4709,2.0782,-1.8538,2.4877,-2.4116,3.0664,-3.1338,3.8454,-0.794,1.2701,-1.5962,2.01,-2.4012,2.843,-3.2077,3.7018,-0.878,1.0694,-1.6188,1.8963,-2.395,2.7538,-3.1842,3.6222,1.399,103.22,3,6,1,376.459,0,1,Active
-1.4722,1.9812,-1.7911,2.3885,-2.4193,2.9938,-3.2212,3.8043,-0.8036,1.2421,-1.6093,1.9642,-2.4159,2.8119,-3.223,3.6865,-0.9124,1.1344,-1.5729,1.9904,-2.2973,2.8646,-3.0552,3.7461,4.721,137.73,7,6,3,442.581,0,0,Active
-2.2448,1.9814,-2.3705,2.3951,-2.6219,3.0475,-3.1991,3.8418,-0.7988,1.2426,-1.5995,1.9529,-2.4012,2.7843,-3.2035,3.6445,-0.877,1.1364,-1.557,1.9837,-2.2671,2.846,-3.0147,3.7151,3.912,120.94,7,6,2,401.484,0,0,Active
-2.4154,2.279,-2.5368,2.7371,-2.7671,3.5045,-3.5578,4.379,-0.7758,2.4015,-1.5918,2.6759,-2.4609,3.2619,-3.35,4.1802,-1.0489,1.1101,-1.8608,2.0074,-2.7446,2.9397,-3.6403,3.8828,4.089,122.29,7,7,2,488.422,0,0,Active
-2.2628,1.9814,-2.3829,2.3933,-2.629,3.0251,-3.0576,3.8005,-0.7119,1.2422,-1.4406,1.9496,-2.1779,2.7701,-2.92,3.6162,-0.877,1.001,-1.557,1.8405,-2.2626,2.6945,-2.9879,3.5526,5.652,120.94,8,6,2,435.586,0,0,Active
-2.3987,1.6878,-2.5268,2.3744,-2.7657,3.2023,-3.4197,4.081,-0.7885,1.4674,-1.5931,2.2771,-2.4073,3.1608,-3.2278,4.069,-0.8799,1.1381,-1.6394,2.0459,-2.4447,2.9696,-3.2668,3.8984,4.922,76.12,3,4,1,415.493,0,1,Active
-1.3097,2.0952,-1.6319,2.5105,-2.336,3.1396,-3.1309,3.913,-0.8001,1.5206,-1.617,2.19,-2.4406,2.9274,-3.2675,3.7339,-0.8413,1.4337,-1.5954,2.0515,-2.4062,2.865,-3.2289,3.7213,5.264,66.4,3,6,2,370.792,1,1,Active
-2.3568,2.2433,-2.4932,2.6606,-3.0328,3.2686,-3.7603,4.1221,-0.8529,1.3219,-1.7353,2.1273,-2.6291,3.0224,-3.5282,3.9423,-0.8717,1.1528,-1.6981,2.075,-2.5847,3.0075,-3.4836,3.9434,5.299,76.74,8,4,1,344.407,0,0,Active
-1.5995,1.2505,-1.9376,1.9436,-2.4446,2.7014,-3.134,3.4909,-0.7764,1.1992,-1.5587,1.8576,-2.3429,2.6272,-3.128,3.4306,-0.9607,1.1486,-1.6595,1.9305,-2.3846,2.7346,-3.1206,3.5456,3.054,68.28,3,4,0,447.369,1,2,Active
-2.3987,1.8818,-2.5266,2.3508,-2.7775,3.0836,-3.46,3.9377,-0.8382,1.2365,-1.7029,2.0021,-2.5755,2.8768,-3.4515,3.7724,-0.8846,1.0886,-1.6905,1.9739,-2.5517,2.8738,-3.4237,3.7783,4.302,60.45,6,4,1,328.412,1,0,Active
-1.8027,1.9782,-1.9468,2.563,-2.7352,3.3218,-3.5766,4.1695,-0.7763,1.5607,-1.5708,2.4283,-2.385,3.3239,-3.2174,4.232,-1.0891,1.1411,-1.9324,1.999,-2.7928,2.8871,-3.6605,3.792,3.959,116.35,8,9,0,562.758,0,0,Inactive
-1.4106,1.9784,-1.9154,2.5633,-2.7322,3.3218,-3.5733,4.169,-0.7763,1.5605,-1.5708,2.4279,-2.3849,3.3231,-3.2173,4.2308,-1.0891,1.1409,-1.9324,1.9982,-2.7928,2.8856,-3.6604,3.7899,4.507,107.12,8,8,0,532.732,0,0,Inactive
-2.399,1.4249,-2.5272,2.1065,-2.7965,2.9171,-3.5262,3.776,-0.7763,1.5359,-1.5629,2.3676,-2.3657,3.2247,-3.1904,4.0943,-1.0868,1.0789,-1.9162,1.9102,-2.7607,2.7695,-3.6126,3.6427,2.513,111.34,13,8,2,464.584,0,0,Inactive
-1.8185,1.4017,-1.9637,1.9582,-2.6905,2.8085,-3.5259,3.6776,-0.7671,1.5352,-1.5583,2.3648,-2.3681,3.2183,-3.1929,4.0833,-1.0863,1.1303,-1.9149,1.9448,-2.7583,2.7852,-3.6089,3.6418,2.59,92.88,11,6,2,416.971,0,0,Inactive
-2.218,2.1767,-2.3471,2.299,-2.6902,2.9481,-3.5252,3.7888,-0.7746,1.5359,-1.5588,2.3678,-2.3666,3.2254,-3.1914,4.096,-1.0864,1.0758,-1.9154,1.9092,-2.7595,2.7722,-3.611,3.6488,2.098,131.21,10,9,3,487.578,0,0,Inactive
-2.3987,2.1767,-2.5265,2.2985,-2.7639,2.9507,-3.5249,3.7942,-0.7746,1.5357,-1.5588,2.3668,-2.3655,3.2232,-3.1899,4.0921,-1.0864,1.0788,-1.9153,1.9109,-2.7594,2.7709,-3.6108,3.6445,2.759,111.34,9,8,2,460.552,0,0,Inactive
