@relation ./ressources/ARFF/2014_05_13_10_10_17.arff

@attribute Time numeric
@attribute Number_of_rooms numeric
@attribute _____Separator_____1 numeric
@attribute Human?1 numeric
@attribute Temperature1 numeric
@attribute Luminosite1 numeric
@attribute Hauteur1 numeric
@attribute Volume1 numeric
@attribute _Fenetre_1.5 numeric
@attribute Open?1.6 numeric
@attribute _Porte_1.7 numeric
@attribute Open?1.8 numeric
@attribute _Fenetre_1.9 numeric
@attribute Open?1.10 numeric
@attribute _____Separator_____2 numeric
@attribute Human?2 numeric
@attribute Temperature2 numeric
@attribute Luminosite2 numeric
@attribute Hauteur2 numeric
@attribute Volume2 numeric
@attribute _Thermique_2.5 numeric
@attribute Power2.6 numeric
@attribute _Thermique_2.7 numeric
@attribute Power2.8 numeric
@attribute _Thermique_2.9 numeric
@attribute Power2.10 numeric
@attribute _Fenetre_2.11 numeric
@attribute Open?2.12 numeric
@attribute _Fenetre_2.13 numeric
@attribute Open?2.14 numeric
@attribute _Porte_2.15 numeric
@attribute Open?2.16 numeric
@attribute _Porte_2.17 numeric
@attribute Open?2.18 numeric
@attribute _____Separator_____3 numeric
@attribute Human?3 numeric
@attribute Temperature3 numeric
@attribute Luminosite3 numeric
@attribute Hauteur3 numeric
@attribute Volume3 numeric
@attribute _Lampe_3.5 numeric
@attribute Power3.6 numeric
@attribute _Lampe_3.7 numeric
@attribute Power3.8 numeric
@attribute _Porte_3.9 numeric
@attribute Open?3.10 numeric
@attribute _Porte_3.11 numeric
@attribute Open?3.12 numeric
@attribute _Porte_3.13 numeric
@attribute Open?3.14 numeric
@attribute _Porte_3.15 numeric
@attribute Open?3.16 numeric
@attribute _____Separator_____4 numeric
@attribute Human?4 numeric
@attribute Temperature4 numeric
@attribute Luminosite4 numeric
@attribute Hauteur4 numeric
@attribute Volume4 numeric
@attribute _Porte_4.5 numeric
@attribute Open?4.6 numeric
@attribute _Porte_4.7 numeric
@attribute Open?4.8 numeric
@attribute _____Separator_____5 numeric
@attribute Human?5 numeric
@attribute Temperature5 numeric
@attribute Luminosite5 numeric
@attribute Hauteur5 numeric
@attribute Volume5 numeric
@attribute _Porte_5.5 numeric
@attribute Open?5.6 numeric
@attribute _Porte_5.7 numeric
@attribute Open?5.8 numeric
@attribute _Porte_5.9 numeric
@attribute Open?5.10 numeric

@data
28800500,5,95,0,6.104627,0,0,0,102,0,112,0,102,0,95,0,18,36.601674,3,30,116,0,116,0,116,0,102,0,102,0,112,0,112,0,95,0,18,0,3,30,108,0,108,0,112,0,112,0,112,0,112,1,95,1,18,0,3,84,112,1,112,1,95,0,18,0,3,27,112,0,112,0,112,1
28806000,5,95,0,6.104627,0,0,0,102,0,112,0,102,0,95,0,18,36.601674,3,30,116,0,116,0,116,0,102,0,102,0,112,0,112,0,95,1,18,0,3,30,108,0,108,0,112,0,112,0,112,0,112,1,95,0,18,0,3,84,112,1,112,1,95,0,18,0,3,27,112,0,112,0,112,1
28806500,5,95,0,6.104627,0,0,0,102,0,112,0,102,0,95,0,18,36.601674,3,30,116,0,116,0,116,0,102,0,102,0,112,0,112,0,95,1,18,0,3,30,108,0,108,0,112,0,112,0,112,0,112,0,95,0,18,0,3,84,112,0,112,1,95,0,18,0,3,27,112,0,112,0,112,1
28807000,5,95,0,6.104627,0,0,0,102,0,112,0,102,0,95,0,18,36.601674,3,30,116,0,116,0,116,0,102,0,102,0,112,0,112,0,95,1,18,0,3,30,108,396,108,0,112,0,112,0,112,0,112,0,95,0,18,0,3,84,112,0,112,1,95,0,18,0,3,27,112,0,112,0,112,1
28807500,5,95,0,6.104627,0,0,0,102,0,112,0,102,0,95,0,18,36.601674,3,30,116,0,116,0,116,0,102,0,102,0,112,0,112,0,95,1,18,39.6,3,30,108,396,108,396,112,0,112,0,112,0,112,0,95,0,18,0,3,84,112,0,112,1,95,0,18,0,3,27,112,0,112,0,112,1
28808000,5,95,0,6.104627,0,0,0,102,0,112,0,102,0,95,0,18,36.601674,3,30,116,0,116,0,116,0,102,0,102,0,112,0,112,0,95,1,18,79.2,3,30,108,0,108,396,112,0,112,0,112,0,112,0,95,0,18,0,3,84,112,0,112,1,95,0,18,0,3,27,112,0,112,0,112,1
28808500,5,95,0,6.104627,0,0,0,102,0,112,0,102,0,95,0,18,36.601674,3,30,116,0,116,0,116,0,102,0,102,0,112,0,112,0,95,1,18,39.6,3,30,108,0,108,0,112,0,112,0,112,0,112,0,95,0,18,0,3,84,112,0,112,1,95,0,18,0,3,27,112,0,112,0,112,1
28809000,5,95,0,6.104627,0,0,0,102,0,112,0,102,0,95,0,18,36.601674,3,30,116,0,116,0,116,0,102,0,102,0,112,0,112,0,95,1,18,0,3,30,108,0,108,0,112,0,112,0,112,0,112,0,95,0,18,0,3,84,112,0,112,1,95,0,18,0,3,27,112,0,112,0,112,1
28818000,5,95,0,6.104627,0,0,0,102,0,112,0,102,0,95,0,18,36.601674,3,30,116,0,116,0,116,0,102,0,102,0,112,1,112,0,95,1,18,0,3,30,108,0,108,0,112,0,112,1,112,0,112,0,95,0,18,0,3,84,112,0,112,1,95,0,18,0,3,27,112,0,112,0,112,1
28818500,5,95,0,6.104627,0,0,0,102,0,112,0,102,0,95,1,18,36.601674,3,30,116,0,116,0,116,0,102,0,102,0,112,1,112,0,95,0,18,18.300837,3,30,108,0,108,0,112,0,112,1,112,0,112,0,95,0,18,0,3,84,112,0,112,1,95,0,18,0,3,27,112,0,112,0,112,1
28819000,5,95,0,6.104627,0,0,0,102,0,112,0,102,0,95,1,18,36.601674,3,30,116,0,116,0,116,0,102,0,102,0,112,0,112,0,95,0,18,18.300837,3,30,108,0,108,0,112,0,112,0,112,0,112,0,95,0,18,0,3,84,112,0,112,1,95,0,18,0,3,27,112,0,112,0,112,1
28819500,5,95,0,6.104627,0,0,0,102,0,112,0,102,0,95,1,18,36.601674,3,30,116,0,116,0,116,0,102,0,102,0,112,0,112,0,95,0,18,0,3,30,108,0,108,0,112,0,112,0,112,0,112,0,95,0,18,0,3,84,112,0,112,1,95,0,18,0,3,27,112,0,112,0,112,1
28822500,5,95,0,6.104627,0,0,0,102,0,112,0,102,1,95,1,18,36.601674,3,30,116,0,116,0,116,0,102,0,102,1,112,0,112,0,95,0,18,0,3,30,108,0,108,0,112,0,112,0,112,0,112,0,95,0,18,0,3,84,112,0,112,1,95,0,18,0,3,27,112,0,112,0,112,1
28828000,5,95,0,6.104627,0,0,0,102,1,112,0,102,1,95,1,18,36.601674,3,30,116,0,116,0,116,0,102,1,102,1,112,0,112,0,95,0,18,0,3,30,108,0,108,0,112,0,112,0,112,0,112,0,95,0,18,0,3,84,112,0,112,1,95,0,18,0,3,27,112,0,112,0,112,1
28828500,5,95,0,6.104627,0,0,0,102,1,112,0,102,1,95,1,18,45.752092,3,30,116,0,116,0,116,0,102,1,102,1,112,0,112,0,95,0,18,0,3,30,108,0,108,0,112,0,112,0,112,0,112,0,95,0,18,0,3,84,112,0,112,1,95,0,18,0,3,27,112,0,112,0,112,1
28838000,5,95,0,6.104627,0,0,0,102,1,112,0,102,1,95,1,18,45.752092,3,30,116,0,116,0,116,0,102,1,102,1,112,0,112,1,95,0,18,0,3,30,108,0,108,0,112,0,112,0,112,0,112,0,95,0,18,0,3,84,112,0,112,1,95,0,18,0,3,27,112,1,112,0,112,1
28838500,5,95,0,6.104627,0,0,0,102,1,112,0,102,1,95,0,18,45.752092,3,30,116,0,116,0,116,0,102,1,102,1,112,0,112,1,95,0,18,0,3,30,108,0,108,0,112,0,112,0,112,0,112,0,95,0,18,11.438023,3,84,112,0,112,1,95,1,18,22.876046,3,27,112,1,112,0,112,1
28848000,5,95,0,6.104627,0,0,0,102,1,112,0,102,1,95,0,18,45.752092,3,30,116,0,116,0,116,0,102,1,102,1,112,0,112,1,95,0,18,0,3,30,108,0,108,0,112,0,112,0,112,0,112,0,95,1,18,11.438023,3,84,112,0,112,1,95,0,18,22.876046,3,27,112,1,112,0,112,1
28848500,5,95,0,6.104627,0,0,0,102,1,112,0,102,1,95,0,18,45.752092,3,30,116,0,116,0,116,0,102,1,102,1,112,0,112,1,95,0,18,0,3,30,108,0,108,0,112,0,112,0,112,0,112,0,95,1,18,11.438023,3,84,112,0,112,0,95,0,18,22.876046,3,27,112,1,112,0,112,0
28849000,5,95,0,6.104627,0,0,0,102,1,112,0,102,1,95,0,18,45.752092,3,30,116,0,116,0,116,0,102,1,102,1,112,0,112,1,95,0,18,0,3,30,108,0,108,0,112,0,112,0,112,0,112,0,95,1,18,0,3,84,112,0,112,0,95,0,18,22.876046,3,27,112,1,112,0,112,0
28856500,5,95,0,6.104627,0,0,0,102,1,112,0,102,1,95,0,18,45.752092,3,30,116,0,116,0,116,0,102,1,102,1,112,0,112,1,95,0,18,0,3,30,108,0,108,0,112,0,112,0,112,0,112,0,95,1,18,0,3,84,112,0,112,1,95,0,18,22.876046,3,27,112,1,112,0,112,1
28857000,5,95,0,6.104627,0,0,0,102,1,112,0,102,1,95,0,18,45.752092,3,30,116,0,116,0,116,0,102,1,102,1,112,0,112,1,95,0,18,0,3,30,108,0,108,0,112,0,112,0,112,0,112,0,95,0,18,11.438023,3,84,112,0,112,1,95,1,18,22.876046,3,27,112,1,112,0,112,1
28860000,5,95,0,6.108985,0,0,0,102,1,112,0,102,1,95,0,18,46.13336,3,30,116,0,116,0,116,0,102,1,102,1,112,0,112,1,95,0,18,0,3,30,108,0,108,0,112,0,112,0,112,0,112,0,95,0,18,11.53334,3,84,112,0,112,1,95,1,18,23.06668,3,27,112,1,112,0,112,1
28864500,5,95,0,6.108985,0,0,0,102,1,112,0,102,1,95,0,18,46.13336,3,30,116,0,116,0,116,0,102,1,102,1,112,0,112,1,95,0,18,0,3,30,108,0,108,0,112,0,112,0,112,1,112,0,95,0,18,11.53334,3,84,112,0,112,1,95,1,18,23.06668,3,27,112,1,112,1,112,1
28865000,5,95,0,6.108985,0,0,0,102,1,112,0,102,1,95,0,18,46.13336,3,30,116,0,116,0,116,0,102,1,102,1,112,0,112,1,95,1,18,11.53334,3,30,108,0,108,0,112,0,112,0,112,1,112,0,95,0,18,11.53334,3,84,112,0,112,1,95,0,18,23.06668,3,27,112,1,112,1,112,1
28865500,5,95,0,6.108985,0,0,0,102,1,112,0,102,1,95,0,18,46.13336,3,30,116,0,116,0,116,0,102,1,102,1,112,0,112,1,95,1,18,11.53334,3,30,108,0,108,0,112,0,112,0,112,0,112,0,95,0,18,11.53334,3,84,112,0,112,1,95,0,18,23.06668,3,27,112,1,112,0,112,1
